cod poblacion,poblacion,cod provincia,provincia
26,Telde,35,Las Palmas
31,Valsequillo de Gran Canaria,35,Las Palmas
31,Valsequillo de Gran Canaria,35,Las Palmas
26,Telde,35,Las Palmas
26,Telde,35,Las Palmas
26,Telde,35,Las Palmas
16,Las Palmas de Gran Canaria,35,Las Palmas
16,Las Palmas de Gran Canaria,35,Las Palmas
26,Telde,35,Las Palmas
11,Ingenio,35,Las Palmas
11,Ingenio,35,Las Palmas
11,Ingenio,35,Las Palmas
26,Telde,35,Las Palmas
2,Agüimes,35,Las Palmas
2,Agüimes,35,Las Palmas
2,Agüimes,35,Las Palmas
19,San Bartolomé de Tirajana,35,Las Palmas
22,Santa Lucía de Tirajana,35,Las Palmas
19,San Bartolomé de Tirajana,35,Las Palmas
19,San Bartolomé de Tirajana,35,Las Palmas
21,Santa Brígida,35,Las Palmas
21,Santa Brígida,35,Las Palmas
21,Santa Brígida,35,Las Palmas
21,Santa Brígida,35,Las Palmas
21,Santa Brígida,35,Las Palmas
33,Vega de San Mateo,35,Las Palmas
33,Vega de San Mateo,35,Las Palmas
33,Vega de San Mateo,35,Las Palmas
27,Teror,35,Las Palmas
27,Teror,35,Las Palmas
27,Teror,35,Las Palmas
27,Teror,35,Las Palmas
32,Valleseco,35,Las Palmas
32,Valleseco,35,Las Palmas
5,Artenara,35,Las Palmas
25,Tejeda,35,Las Palmas
25,Tejeda,35,Las Palmas
19,San Bartolomé de Tirajana,35,Las Palmas
3,Antigua,35,Las Palmas
34,Yaiza,35,Las Palmas
6,Arucas,35,Las Palmas
6,Arucas,35,Las Palmas
6,Arucas,35,Las Palmas
6,Arucas,35,Las Palmas
13,Moya,35,Las Palmas
6,Arucas,35,Las Palmas
6,Arucas,35,Las Palmas
6,Arucas,35,Las Palmas
6,Arucas,35,Las Palmas
9,Gáldar,35,Las Palmas
13,Moya,35,Las Palmas
13,Moya,35,Las Palmas
13,Moya,35,Las Palmas
13,Moya,35,Las Palmas
8,Firgas,35,Las Palmas
8,Firgas,35,Las Palmas
8,Firgas,35,Las Palmas
8,Firgas,35,Las Palmas
23,Santa María de Guía de Gran Canaria,35,Las Palmas
23,Santa María de Guía de Gran Canaria,35,Las Palmas
